ID,Gender,Age,Native,KoreanVisit,KoreanDrama,KoreanLanguage,SojuQuestion,KoreanRestaurant,KoreanFriends,Qualitative,Condition,StimGender,Resp,RespType,Question
R_1CeFyDSzzH1HLiz,male,24,English,Never,Never,None,Yes,Yes,Yes,"I didn't notice too much, but I thought that the one that sounded ""harsher"" was the 30% alcohol one as it may be harsher to drink.",KheuKhya,Female,Second,Khya,15%
R_1CeFyDSzzH1HLiz,male,24,English,Never,Never,None,Yes,Yes,Yes,"I didn't notice too much, but I thought that the one that sounded ""harsher"" was the 30% alcohol one as it may be harsher to drink.",KhyaKheu,Male,First,Khya,15%
R_1DALn0CoHfdzK2w,female,20,English,Never,Occasionally,None,Yes,Yes,Maybe,The carbonation content is different so the lower pitched audio was what I picked for the 15%,KhyaKheu,Female,First,Khya,15%
R_1DALn0CoHfdzK2w,female,20,English,Never,Occasionally,None,Yes,Yes,Maybe,The carbonation content is different so the lower pitched audio was what I picked for the 15%,KheuKhya,Male,Second,Khya,15%
R_1eQwN8qBCXDv5SV,female,37,English,Never,Never,None,No,Yes,No,"The second sounds had more of a ""satisfied"" sound to them, whereas the first sounds had more of an air of surprise but not pleasure. I associate taking pleasure in a beverage with a lower alcohol content. I didn't notice anything else about the sounds, other than that the second set appeared to be a sped up or slightly higher pitched version of the first set.",KheuKhya,Male,Second,Khya,15%
R_1eQwN8qBCXDv5SV,female,37,English,Never,Never,None,No,Yes,No,"The second sounds had more of a ""satisfied"" sound to them, whereas the first sounds had more of an air of surprise but not pleasure. I associate taking pleasure in a beverage with a lower alcohol content. I didn't notice anything else about the sounds, other than that the second set appeared to be a sped up or slightly higher pitched version of the first set.",KheuKhya,Female,Second,Khya,15%
R_1ey0IUcmkFyyj17,male,33,English,Never,Never,None,No,No,No,"On the first set of clips the sound that was ""weaker"" sounding I chose as the 15 percent.  The second clips I just chose the one that sounded like the first clip.",KhyaKheu,Female,First,Khya,15%
R_1ey0IUcmkFyyj17,male,33,English,Never,Never,None,No,No,No,"On the first set of clips the sound that was ""weaker"" sounding I chose as the 15 percent.  The second clips I just chose the one that sounded like the first clip.",KheuKhya,Male,First,Kheu,15%
R_1Fg4XQNmdt4tCdd,female,25,"Chinese, English",Never,Regularly,Novice,Yes,Yes,Yes,One sound was louder than the other while one sound was lower than the either. The audio sounded like when someone drinks soju or sake and it hits them and if it's strong they make the sounds that I heard on the audio clips. I think the sounds with the higher alcohol content (30%) would make a more sharp louder sound because it's stronger so a person's reaction would be higher and louder as opposed to the lower alcohol content (15%). ,KheuKhya,Male,Second,Khya,15%
R_1Fg4XQNmdt4tCdd,female,25,"Chinese, English",Never,Regularly,Novice,Yes,Yes,Yes,One sound was louder than the other while one sound was lower than the either. The audio sounded like when someone drinks soju or sake and it hits them and if it's strong they make the sounds that I heard on the audio clips. I think the sounds with the higher alcohol content (30%) would make a more sharp louder sound because it's stronger so a person's reaction would be higher and louder as opposed to the lower alcohol content (15%). ,KhyaKheu,Female,First,Khya,15%
R_1FK88kx5dJnGw62,female,35,English,Never,Never,None,No,No,No,I thought the more gentler sounding of the two would be for the lower percent of alcohol.,KhyaKheu,Female,First,Khya,15%
R_1FK88kx5dJnGw62,female,35,English,Never,Never,None,No,No,No,I thought the more gentler sounding of the two would be for the lower percent of alcohol.,KheuKhya,Male,Second,Khya,15%
R_1GN9sMBVl436OTT,male,22,english,Never,Never,None,No,No,No,Intuition,KheuKhya,Male,Second,Khya,15%
R_1GN9sMBVl436OTT,male,22,english,Never,Never,None,No,No,No,Intuition,KheuKhya,Female,First,Kheu,15%
R_1hW16d1ME5d11WE,male,24,English,Never,Never,None,Yes,Yes,Yes,Longer clips could possibly lead to better results.,KheuKhya,Female,First,Kheu,15%
R_1hW16d1ME5d11WE,male,24,English,Never,Never,None,Yes,Yes,Yes,Longer clips could possibly lead to better results.,KhyaKheu,Male,Second,Kheu,15%
R_1kZdd2J4NdZbjNK,male,32,English,Never,Never,None,No,Yes,No,I thought that the sounds might be someone reacting to drinking the drink and I picked the one that sounded harsher for the 30% so the 15% must be the other one.,KheuKhya,Male,First,Kheu,15%
R_1kZdd2J4NdZbjNK,male,32,English,Never,Never,None,No,Yes,No,I thought that the sounds might be someone reacting to drinking the drink and I picked the one that sounded harsher for the 30% so the 15% must be the other one.,KheuKhya,Female,Second,Khya,15%
R_1OZizTFaL0Y7gBQ,male,26,English,Never,Rarely,None,No,Yes,Yes,I suppose which one sounded more aggressive and which one sounded more natural,KhyaKheu,Male,Second,Kheu,15%
R_1OZizTFaL0Y7gBQ,male,26,English,Never,Rarely,None,No,Yes,Yes,I suppose which one sounded more aggressive and which one sounded more natural,KheuKhya,Female,Second,Khya,15%
R_1pMQwzONGByNMIW,female,42,english,Never,Never,None,Yes,Yes,No,I was caught off guard because the sounds were not what I was expecting.  They reminded me of the sound you hear when you uncap a soda can,KheuKhya,Male,First,Kheu,15%
R_1pMQwzONGByNMIW,female,42,english,Never,Never,None,Yes,Yes,No,I was caught off guard because the sounds were not what I was expecting.  They reminded me of the sound you hear when you uncap a soda can,KhyaKheu,Female,First,Khya,15%
R_1ptiGpuXK4t5Yjx,male,54,English,Never,Occasionally,None,No,No,No,"I thought about how I would feel if I were drinking something strong in alcohol content and what sound I would make, I sued this as a guide.",KheuKhya,Female,First,Kheu,15%
R_1ptiGpuXK4t5Yjx,male,54,English,Never,Occasionally,None,No,No,No,"I thought about how I would feel if I were drinking something strong in alcohol content and what sound I would make, I sued this as a guide.",KhyaKheu,Male,First,Khya,15%
R_1QoRDxdYOxXb4Jd,male,26,English,Never,Rarely,None,Yes,Yes,Yes,I made my choices based on which ones sounded harsher.,KhyaKheu,Male,First,Khya,15%
R_1QoRDxdYOxXb4Jd,male,26,English,Never,Rarely,None,Yes,Yes,Yes,I made my choices based on which ones sounded harsher.,KheuKhya,Female,Second,Khya,15%
R_1riCmHOEigg4YTx,male,30,English,Never,Occasionally,None,No,Yes,Yes,no idea ,KhyaKheu,Male,Second,Kheu,15%
R_1riCmHOEigg4YTx,male,30,English,Never,Occasionally,None,No,Yes,Yes,no idea ,KhyaKheu,Female,First,Khya,15%
R_1rPR7OX2L2ImEKc,female,22,English,Never,Never,None,No,No,No,"I'm not sure why I picked what I did. In the second set of sounds I picked the second sound because it sounded quieter, but I think I went the opposite way in the first set of sounds. I picked what sounded more natural.",KheuKhya,Female,First,Kheu,15%
R_1rPR7OX2L2ImEKc,female,22,English,Never,Never,None,No,No,No,"I'm not sure why I picked what I did. In the second set of sounds I picked the second sound because it sounded quieter, but I think I went the opposite way in the first set of sounds. I picked what sounded more natural.",KhyaKheu,Male,Second,Kheu,15%
R_25FmPUBCfPFsy36,female,25,English. Spanish ,Never,Never,None,Yes,No,No,15% is less and so I chose the sound that sounded less time,KheuKhya,Male,First,Kheu,15%
R_25FmPUBCfPFsy36,female,25,English. Spanish ,Never,Never,None,Yes,No,No,15% is less and so I chose the sound that sounded less time,KheuKhya,Female,Second,Khya,15%
R_28GrRxMicfLxFF0,male,29,English,Never,Rarely,None,No,Yes,Yes,I associated the sound that had a seemingly more intense release to correspond to the higher alcohol content.,KheuKhya,Male,Second,Khya,15%
R_28GrRxMicfLxFF0,male,29,English,Never,Rarely,None,No,Yes,Yes,I associated the sound that had a seemingly more intense release to correspond to the higher alcohol content.,KhyaKheu,Female,First,Khya,15%
R_2afeVQUXEOiiusT,male,61,English,Never,Rarely,None,No,No,No,Even though the taste was described as identical I assumed that the 30% would have a stronger kick and should be associated with the harsher reactions.,KhyaKheu,Male,First,Khya,15%
R_2afeVQUXEOiiusT,male,61,English,Never,Rarely,None,No,No,No,Even though the taste was described as identical I assumed that the 30% would have a stronger kick and should be associated with the harsher reactions.,KheuKhya,Female,First,Kheu,15%
R_2aLXirnsKWjl1Px,male,38,english,Never,Occasionally,None,No,No,Maybe,the sound was lighter for the ones i picked which i think made me think it had less achoal. ,KhyaKheu,Female,First,Khya,15%
R_2aLXirnsKWjl1Px,male,38,english,Never,Occasionally,None,No,No,Maybe,the sound was lighter for the ones i picked which i think made me think it had less achoal. ,KhyaKheu,Male,First,Khya,15%
R_2CJ6YQJxsOGgghl,female,24,English,Never,Never,None,Yes,Yes,Yes,"Well, the ones that seemed a bit deeper and longer I associated with 30% alcohol, because it is stronger. The quieter, shorter one to me meant the drink was less harsh.",KhyaKheu,Male,First,Khya,15%
R_2CJ6YQJxsOGgghl,female,24,English,Never,Never,None,Yes,Yes,Yes,"Well, the ones that seemed a bit deeper and longer I associated with 30% alcohol, because it is stronger. The quieter, shorter one to me meant the drink was less harsh.",KhyaKheu,Female,First,Khya,15%
R_2CZZrasXzmnW8v1,male,18,Ukrainian,Never,Never,None,No,No,No,I thought the quieter sound meant less alcohol content.,KhyaKheu,Male,Second,Kheu,15%
R_2CZZrasXzmnW8v1,male,18,Ukrainian,Never,Never,None,No,No,No,I thought the quieter sound meant less alcohol content.,KhyaKheu,Female,First,Khya,15%
R_2e8bYvVIPRf2YJe,male,26,English,Never,Rarely,None,Yes,Yes,Yes,I based my judgement on how loud it was.,KheuKhya,Male,First,Kheu,15%
R_2e8bYvVIPRf2YJe,male,26,English,Never,Rarely,None,Yes,Yes,Yes,I based my judgement on how loud it was.,KhyaKheu,Female,First,Khya,15%
R_2eXxKRma7oJToOB,female,30,English,Never,Never,None,No,No,No,"I thought the higher pitched one seemed more appropriate for the 30%. Like it was under more pressure, stronger. I don't really understand it though.",KheuKhya,Male,First,Kheu,15%
R_2eXxKRma7oJToOB,female,30,English,Never,Never,None,No,No,No,"I thought the higher pitched one seemed more appropriate for the 30%. Like it was under more pressure, stronger. I don't really understand it though.",KheuKhya,Female,First,Kheu,15%
R_2f7gDWblaMXF2ls,female,56,English,Never,Rarely,None,No,No,Yes,"the softer sound made me think of a less content of pressure, less alcohol content",KheuKhya,Female,Second,Khya,15%
R_2f7gDWblaMXF2ls,female,56,English,Never,Rarely,None,No,No,Yes,"the softer sound made me think of a less content of pressure, less alcohol content",KheuKhya,Male,First,Kheu,15%
R_2PBWnSGQwnzOtY7,female,25,English,Never,Never,None,No,Yes,Yes,I thought about the amount of alcohol like I would the carbonation in a soft drink and how that would impact the sound. So a more impactful sound equated to more alcohol being in it. ,KheuKhya,Male,Second,Khya,15%
R_2PBWnSGQwnzOtY7,female,25,English,Never,Never,None,No,Yes,Yes,I thought about the amount of alcohol like I would the carbonation in a soft drink and how that would impact the sound. So a more impactful sound equated to more alcohol being in it. ,KhyaKheu,Female,First,Khya,15%
R_2qeDuOWzYkhBAvr,male,33,english,Never,Never,None,Yes,No,Yes,the more exasperated sound would prob be associated with a higher alcohol content (more aggressive taste),KhyaKheu,Male,Second,Kheu,15%
R_2qeDuOWzYkhBAvr,male,33,english,Never,Never,None,Yes,No,Yes,the more exasperated sound would prob be associated with a higher alcohol content (more aggressive taste),KhyaKheu,Female,First,Khya,15%
R_2QnCkE9OUKQLRqn,male,47,english,Short visit(s),Never,None,No,Yes,Yes,"pressure released, or the pain of drinking it...",KheuKhya,Female,Second,Khya,15%
R_2QnCkE9OUKQLRqn,male,47,english,Short visit(s),Never,None,No,Yes,Yes,"pressure released, or the pain of drinking it...",KheuKhya,Male,Second,Khya,15%
R_2S9nZeEUfmSKnka,female,42,English,Never,Occasionally,None,No,No,No,I don't know why I associated the softer sound with the lower percentage alcohol. It just seemed to make sense for some reason. Thanks!,KheuKhya,Female,Second,Khya,15%
R_2S9nZeEUfmSKnka,female,42,English,Never,Occasionally,None,No,No,No,I don't know why I associated the softer sound with the lower percentage alcohol. It just seemed to make sense for some reason. Thanks!,KhyaKheu,Male,Second,Kheu,15%
R_2sRce5oDPZd7FzH,male,24,English,Never,Never,None,No,No,No,A more bold sound on the 30 percent.,KheuKhya,Female,First,Kheu,15%
R_2sRce5oDPZd7FzH,male,24,English,Never,Never,None,No,No,No,A more bold sound on the 30 percent.,KheuKhya,Male,Second,Khya,15%
R_2tzESR4A6ilautS,male,26,English,Never,Never,None,No,Yes,No,I think of the lower pitched sound as the one that equals a lower number. ,KhyaKheu,Male,First,Khya,15%
R_2tzESR4A6ilautS,male,26,English,Never,Never,None,No,Yes,No,I think of the lower pitched sound as the one that equals a lower number. ,KheuKhya,Female,First,Kheu,15%
R_2U30wqJgKWbYwGf,female,40,English,Never,Never,None,Yes,Yes,Yes,I choose the sound that was more harsh and dramatic as the one associated with the 30% alcohol.,KhyaKheu,Female,First,Khya,15%
R_2U30wqJgKWbYwGf,female,40,English,Never,Never,None,Yes,Yes,Yes,I choose the sound that was more harsh and dramatic as the one associated with the 30% alcohol.,KhyaKheu,Male,Second,Kheu,15%
R_2Y3ONOeLiSO2nTn,male,19,English,Never,Never,None,No,Yes,Maybe,Based off the tone of the sound. I guessed that the tone would be more substantial in terms of level of sound and how fast it was.,KhyaKheu,Male,Second,Kheu,15%
R_2Y3ONOeLiSO2nTn,male,19,English,Never,Never,None,No,Yes,Maybe,Based off the tone of the sound. I guessed that the tone would be more substantial in terms of level of sound and how fast it was.,KheuKhya,Female,First,Kheu,15%
R_2ZNq5RedMe5T7Cr,female,28,English,Never,Rarely,None,Yes,Yes,No,"One sounded more drunk than the other, I chose the one that sounded like that for the 15% liquor.",KhyaKheu,Male,Second,Kheu,15%
R_2ZNq5RedMe5T7Cr,female,28,English,Never,Rarely,None,Yes,Yes,No,"One sounded more drunk than the other, I chose the one that sounded like that for the 15% liquor.",KheuKhya,Female,First,Kheu,15%
R_301VeruC9CwaON6,female,26,English,Never,Never,None,No,Yes,Yes,The first one seems lighter,KhyaKheu,Male,First,Khya,15%
R_301VeruC9CwaON6,female,26,English,Never,Never,None,No,Yes,Yes,The first one seems lighter,KhyaKheu,Female,First,Khya,15%
R_3EiD2zKKkeeTqhv,female,23,english,Never,Occasionally,None,No,Yes,Yes,The strength of the sound was he only influence,KheuKhya,Male,Second,Khya,15%
R_3EiD2zKKkeeTqhv,female,23,english,Never,Occasionally,None,No,Yes,Yes,The strength of the sound was he only influence,KheuKhya,Female,First,Kheu,15%
R_3IXgs9uJ7WSmH1N,male,26,English,Never,Rarely,None,No,Maybe,No,What influenced my judgment was how loud they were when opened and how much of an aggressive sound they each made. I felt that that the louder noises would be related to the higher alcohol content.,KheuKhya,Female,Second,Khya,15%
R_3IXgs9uJ7WSmH1N,male,26,English,Never,Rarely,None,No,Maybe,No,What influenced my judgment was how loud they were when opened and how much of an aggressive sound they each made. I felt that that the louder noises would be related to the higher alcohol content.,KheuKhya,Male,First,Kheu,15%
R_3k1CLGn2vfCtv9j,male,23,english,Never,Regularly,None,Maybe,Maybe,Maybe,no,KheuKhya,Female,Second,Khya,15%
R_3k1CLGn2vfCtv9j,male,23,english,Never,Regularly,None,Maybe,Maybe,Maybe,no,KheuKhya,Male,Second,Khya,15%
R_3njfyovA7j82u1Z,male,19,English,Never,Never,None,No,No,No,The first sound was softer than the second sound. I based my judgement on that aspect.,KhyaKheu,Female,First,Khya,15%
R_3njfyovA7j82u1Z,male,19,English,Never,Never,None,No,No,No,The first sound was softer than the second sound. I based my judgement on that aspect.,KhyaKheu,Male,First,Khya,15%
R_3nji3GEjo7wyCgm,female,42,English,Never,Never,None,No,Yes,No,more fermentation makes the sound different,KhyaKheu,Female,Second,Kheu,15%
R_3nji3GEjo7wyCgm,female,42,English,Never,Never,None,No,Yes,No,more fermentation makes the sound different,KhyaKheu,Male,Second,Kheu,15%
R_3NOF6Mp6NPiK402,male,31,English,Never,Rarely,None,No,Yes,No,depth of the sound,KheuKhya,Male,First,Kheu,15%
R_3NOF6Mp6NPiK402,male,31,English,Never,Rarely,None,No,Yes,No,depth of the sound,KheuKhya,Female,Second,Khya,15%
R_3nq5TExBF7SuPo8,female,27,English,Never,Never,None,No,Yes,No,It seemed that the first sound was lower in pitch. I made the assumption that people would make a lower- pitched sound after taking a sip of the 15% alcohol drink than they would taking a sip of the 30% alcohol drink. ,KheuKhya,Female,First,Kheu,15%
R_3nq5TExBF7SuPo8,female,27,English,Never,Never,None,No,Yes,No,It seemed that the first sound was lower in pitch. I made the assumption that people would make a lower- pitched sound after taking a sip of the 15% alcohol drink than they would taking a sip of the 30% alcohol drink. ,KheuKhya,Male,First,Kheu,15%
R_3PTWzz3s5xuQabd,male,71,english,Never,Rarely,None,No,No,Maybe,"one is sharper than the other, but I have no idea why either of these sounds would be associated with any drink",KhyaKheu,Female,First,Khya,15%
R_3PTWzz3s5xuQabd,male,71,english,Never,Rarely,None,No,No,Maybe,"one is sharper than the other, but I have no idea why either of these sounds would be associated with any drink",KheuKhya,Male,First,Kheu,15%
R_9mHyBCdykt5VRrb,,NA,,,,,,,,,KhyaKheu,Male,Second,Kheu,15%
R_9mHyBCdykt5VRrb,,NA,,,,,,,,,KheuKhya,Female,First,Kheu,15%
R_BsOCWjZfJyNE6J3,female,25,english,Never,Rarely,None,No,Yes,Yes,na,KhyaKheu,Male,First,Khya,15%
R_BsOCWjZfJyNE6J3,female,25,english,Never,Rarely,None,No,Yes,Yes,na,KhyaKheu,Female,First,Khya,15%
R_cAOe74SFRjfxzz3,male,47,English,Never,Rarely,None,No,No,No,"I'm not 100% positive about what the sound was. I did as your requested and only listened to each sound once. I assumed (and I could be wrong) that the sound was of someone right after swallowing a shot of this rice liquor. An audible gasp of sorts that is associated with strong alcohol. I took the less ""aggressive"" gasp to be associated with the weaker 15% alcohol. At least I think I did. Perhaps I should have listened to each sound multiple times, but I assumed (from your written statement) that you preferred that we not do that, so I only listened to each sound file once.",KheuKhya,Male,First,Kheu,15%
R_cAOe74SFRjfxzz3,male,47,English,Never,Rarely,None,No,No,No,"I'm not 100% positive about what the sound was. I did as your requested and only listened to each sound once. I assumed (and I could be wrong) that the sound was of someone right after swallowing a shot of this rice liquor. An audible gasp of sorts that is associated with strong alcohol. I took the less ""aggressive"" gasp to be associated with the weaker 15% alcohol. At least I think I did. Perhaps I should have listened to each sound multiple times, but I assumed (from your written statement) that you preferred that we not do that, so I only listened to each sound file once.",KhyaKheu,Female,Second,Kheu,15%
R_DAFTSVw6Rgin2eZ,male,24,English,Never,Never,None,Yes,Yes,Yes,I tried to choose the sound that wasn't as sharp. I had no idea how to differentiate between 15% and 30%.,KhyaKheu,Female,Second,Kheu,15%
R_DAFTSVw6Rgin2eZ,male,24,English,Never,Never,None,Yes,Yes,Yes,I tried to choose the sound that wasn't as sharp. I had no idea how to differentiate between 15% and 30%.,KheuKhya,Male,First,Kheu,15%
R_OkTLiu6oopOYxfb,female,25,english,Never,Never,None,No,No,No,higher pressure has a louder sound which means higher alcohol content,KhyaKheu,Female,Second,Kheu,15%
R_OkTLiu6oopOYxfb,female,25,english,Never,Never,None,No,No,No,higher pressure has a louder sound which means higher alcohol content,KhyaKheu,Male,First,Khya,15%
R_QmE73oUzGEUxse5,female,25,English,Never,Rarely,None,Yes,Yes,Yes,"For each pair of sounds, one seemed shorter and brisk and the other was longer and drawn out. For some reason, the shorter/brisk one reminded me of the 15% alcohol. First pair sounded human voice generated, second pair seemed sound effects generated.",KheuKhya,Male,Second,Khya,15%
R_QmE73oUzGEUxse5,female,25,English,Never,Rarely,None,Yes,Yes,Yes,"For each pair of sounds, one seemed shorter and brisk and the other was longer and drawn out. For some reason, the shorter/brisk one reminded me of the 15% alcohol. First pair sounded human voice generated, second pair seemed sound effects generated.",KhyaKheu,Female,Second,Kheu,15%
R_rqFryL61PwTzF8B,female,51,English,Never,Regularly,None,No,No,No, / louder sound was less refined,KheuKhya,Female,Second,Khya,15%
R_rqFryL61PwTzF8B,female,51,English,Never,Regularly,None,No,No,No, / louder sound was less refined,KhyaKheu,Male,First,Khya,15%
R_RXHT2kH5VZMZ9cd,female,31,english,Never,Occasionally,None,Yes,Yes,Maybe,I don't have much of a reference I just decided the ones that sounded harsher to me were 30% so the others were 15%,KheuKhya,Female,First,Kheu,15%
R_RXHT2kH5VZMZ9cd,female,31,english,Never,Occasionally,None,Yes,Yes,Maybe,I don't have much of a reference I just decided the ones that sounded harsher to me were 30% so the others were 15%,KhyaKheu,Male,First,Khya,15%
R_sXAQ01HzZyEbj9L,female,51,English,Never,Never,None,Yes,No,Yes,The two answers I chose were a little less rough and aggressive,KheuKhya,Female,Second,Khya,15%
R_sXAQ01HzZyEbj9L,female,51,English,Never,Never,None,Yes,No,Yes,The two answers I chose were a little less rough and aggressive,KheuKhya,Male,First,Kheu,15%
R_Tc4ve5fS9hY6NEJ,female,32,english,Never,Never,None,No,Maybe,No,The pitch of the sound influenced me. The sounds that were high pitched made me think of something with less alcohol.,KhyaKheu,Male,First,Khya,15%
R_Tc4ve5fS9hY6NEJ,female,32,english,Never,Never,None,No,Maybe,No,The pitch of the sound influenced me. The sounds that were high pitched made me think of something with less alcohol.,KhyaKheu,Female,First,Khya,15%
R_tLOkrWZmJCFZCHD,male,30,english,Never,Never,None,No,No,No,thank you,KhyaKheu,Female,First,Khya,15%
R_tLOkrWZmJCFZCHD,male,30,english,Never,Never,None,No,No,No,thank you,KheuKhya,Male,Second,Khya,15%
R_WwiRofTvTx6AUFz,male,33,english,Never,Rarely,None,No,No,No,I chose the shorter and then the slightly quieter,KhyaKheu,Female,First,Khya,15%
R_WwiRofTvTx6AUFz,male,33,english,Never,Rarely,None,No,No,No,I chose the shorter and then the slightly quieter,KheuKhya,Male,First,Kheu,15%
